src,dest,weight
D001780,D001777,4033
D001782,D000328,6303
D001783,D000293,3545
D001783,D000328,15648
D001783,D000368,10201
D001783,D000818,14797
D001784,D000328,4548
D001784,D000368,3016
D001784,D000818,6869
D001786,D000273,4149
D001786,D000284,3136
D001786,D000293,12350
D001786,D000328,44398
D001786,D000367,3759
D001786,D000368,21384
D001786,D000369,3677
D001786,D000704,3122
D001786,D000818,49524
D001792,D000244,4338
D001792,D000293,3522
D001792,D000328,13138
D001792,D000368,6653
D001792,D000818,21469
D001792,D001241,3207
D001792,D001772,3621
D001792,D001777,4386
D001794,D000284,3309
D001794,D000293,19982
D001794,D000319,4825
D001794,D000328,76510
D001794,D000367,7933
D001794,D000368,45406
D001794,D000369,8502
D001794,D000375,4880
D001794,D000450,4059
D001794,D000704,5637
D001794,D000758,3581
D001794,D000804,8892
D001794,D000806,5828
D001794,D000818,98189
D001794,D000860,3787
D001794,D000959,17665
D001794,D001011,6430
D001794,D001158,5910
D001794,D001341,3597
D001794,D001775,3425
D001794,D001783,10461
D001794,D001786,10081
D001795,D000328,5396
D001795,D000368,4029
D001795,D000818,3100
D001795,D001794,12748
D001797,D000818,3240
D001798,D000293,3624
D001798,D000328,10383
D001798,D000368,4953
D001798,D000818,25808
D001799,D000328,3816
D001803,D000293,6219
D001803,D000328,13037
D001803,D000368,7546
D001803,D000818,5331
D001803,D001782,4528
D001806,D000818,5566
D001807,D000328,5510
D001807,D000368,8421
D001807,D000818,4491
D001808,D000328,3731
D001808,D000818,14738
D001810,D000328,5566
D001810,D000818,7566
D001810,D001794,5266
D001812,D000818,16348
D001823,D000273,8507
D001823,D000293,5803
D001823,D000328,12704
D001823,D000368,6184
D001823,D000818,9730
D001823,D000886,3478
D001824,D000328,3783
D001826,D000818,8995
D001827,D000293,12693
D001827,D000328,11140
D001827,D000367,5000
D001827,D000368,3721
D001827,D000886,4051
D001828,D000293,5372
D001828,D000328,6917
D001831,D000328,8484
D001831,D000818,23416
D001831,D001794,3619
D001833,D000328,4010
D001833,D000818,12161
D001833,D001831,3861
D001834,D000818,6845
D001835,D000273,7928
D001835,D000284,3848
D001835,D000293,18066
D001835,D000328,31796
D001835,D000367,12485
D001835,D000368,13029
D001835,D000375,7560
D001835,D000704,5138
D001835,D000818,101514
D001835,D000821,4616
D001835,D000824,3031
D001835,D000831,5674
D001835,D000886,4497
D001835,D001522,4223
D001835,D001724,3434
D001835,D001786,11892
D001835,D001794,10137
D001835,D001823,8354
D001835,D001827,16875
D001840,D000134,4019
D001842,D000293,5773
D001842,D000328,12344
D001842,D000368,8571
D001842,D000469,4000
D001842,D000818,33498
D001842,D001696,3068
D001843,D000368,3249
D001846,D000818,7264
D001846,D001842,3885
D001847,D000328,5299
D001847,D001842,3174
D001853,D000293,5046
D001853,D000328,12291
D001853,D000368,8890
D001853,D000818,25111
D001854,D000328,5666
